Genealogical Records and Historical Personalities of Early America - Table 1
Full Name,Birth Date,Birth Place,Death Date,Spouse(s),Historical Significance,Related Locations,Key Family Connections,Source
Elias M. McDonald,"July 25, 1819","Wartrace, Bedford County, Tennessee","September 29, 1897",Ellen Elmira Ross,Master gunsmith known for producing the 'Kentucky Rifle' near Green Hill; Owner of 300 acres of land.,"Tennessee; Green Hill, AL; St. Joseph, Lawrence County, TN.",Son of John and Margaret Emory McDonald; Brother of Joseph Emory and John Scruggs McDonald.,14
Joseph Emory McDonald,"September 1, 1824","Wartrace, Bedford County (Duck River), Tennessee","February 28, 1911",Jane English,"Teacher, blacksmith, gunsmith, silversmith, and wagon-maker; Served as a Justice of the Peace for twelve years; Private in Lauderdale County Militia.","Tennessee; Green Hill, AL.","Son of John and Margaret Emory McDonald; Father of Sarah Margaret, Stephen Emory, and Allen Carroll.",14
John Scruggs McDonald Senior,1834,"Green Hill, Lauderdale County, Alabama","November 3, 1896",Rachel English (1st); Mary Frances Fowler (2nd),"Civil War Veteran (Union Army, Company C, 1st Regiment of Kentucky Light Artillery); Blacksmith and miller.","Lauderdale County, AL; Kentucky; Florence, AL.","Youngest son of John and Margaret Emory McDonald; Father of John Scruggs Jr., James Francis, Jahue Scruggs, and Jesse William.",14
Wiley M. Grisham,1832,"Pope Co., IL",Not in source,Not in source,Inventor of the automatic coupler for railway cars; Part-time Baptist minister.,"Pope County, IL; Washington, D.C.",Son of Davis and Sarah (Sally) Grisham.,11
Solomon Whitley,c. 1723,Ireland,c. 1782,Elizabeth Barnett (married before 1745),Early American settler; taught Presbyterian catechism at Whitley's Station.,"Ireland; Augusta (later Rockbridge) County, VA; Whitley's Station, KY.","Father of William Chapman Whitley, Sarah Whitley Lewis, and Ruth Whitley Collier.",5-7
John McDonald,about 1792,South Carolina,c. 1860,Margaret Emory,"Early settler of Lauderdale County, Alabama; Blacksmith.","South Carolina; Wartrace, TN; Green Hill, Lauderdale County, AL; Wayland Springs, TN.","Father of Amos, Matthew J., Elias M., Thomas Anderson, and John Scruggs McDonald.",14
John Duncan (The Elder),Estimate 1720-1730,"Aberdeen, Scotland",Estimate 1803-1805,Possibly Elizabeth,Immigrant pioneer; one of the first settlers on Duncan's Creek in South Carolina; Large landholder.,"Aberdeen, Scotland; Pennsylvania; Duncan's Creek, Newberry District, SC.",Father of John (b. ca. 1744) and James (b. ca. 1746).,15
John Martin Scott,1791,Virginia,1870,Anna Elizabeth Snapp (1st); Mary Cynthia White (2nd),"Magistrate in Wayne County, Tennessee.","Virginia; Williamson County, TN; Wayne County, TN.","Son of James Scott and Rebecca; father of Samuel, Mary Jane, and Frederick Marion Scott.",16
Philemon Gresham,"Apr 17, 1800","Wilkes Co., GA","Aug 13, 1850",Delila,Not in source,"Wilkes Co., GA; Lauderdale County, AL",Thomas Gresham (Father); Mary (Mother),8
Mollie Leona Gresham,"September 21, 1874","Lauderdale County, Alabama","January 25, 1953","William Archabald Parish Esq. (married January 15, 1890)",Not in source,"Lauderdale County, AL.",Daughter of William George Gresham and Mary Ann Whitten; granddaughter of Jarred Gresham; mother of Nancy Pearl Parish.,9
Palina Altimira McDonald,"March 31, 1859","Wayland Springs, Tennessee","August 5, 1936","William Eldredge ""Bill"" England (married November 29, 1876)",Not in source,"Wayland Springs, TN; Wayne and Lawrence Counties, TN; Cypress Creek and Rhodesville, Lauderdale County, AL.",Daughter of Thomas Anderson McDonald and Sarah A. Adkinson; granddaughter of John McDonald and Margaret Emory.,17
